2020-03-31 16:46:37,310 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:54:21,777 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:54:21,828 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 16:54:21,830 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 16:54:21,832 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 17:00:52,867 [Worker-96] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 17:00:52,871 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2020-03-31 17:00:52,873 [Worker-96] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 17:00:52,875 [Worker-96] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-03-31 17:01:28,059 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 17:01:28,063 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2020-03-31 17:01:28,066 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2020-03-31 17:01:28,068 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
